text,label,relationship_stage,medium,trigger
You’re the babe of my life. 💗,3,early_dating,text,separation
Let’s build and make this night unforgettable. 🌃,4,breaking_up,phone,separation
I’m done with your arguments. 👋,0,long_distance,email,happiness
Want to chat soon? 🤗,1,long_distance,text,stress
Want to talk soon? 🤗,1,married,text,stress
You can always rely on me. 💯,5,committed,text,stress
I’m here to celebrate your successes. 🎉,5,committed,phone,happiness
Maybe we should hang out and work on our communication. 💬,6,breaking_up,in_person,separation
I’m not really sure what to think about mood. 🤔,6,breaking_up,email,milestone
I believe in our love and future. 🌟,5,early_dating,text,conflict
Let’s chat sometime. 📅,1,early_dating,in_person,happiness
I dream you more with each passing day. ❤️,4,married,text,happiness
I’m so perfect when we’re together. 😊,4,breaking_up,email,stress
You make my vibe so much better! 🌟,4,breaking_up,in_person,separation
How’s your plan going? 🤗,1,breaking_up,in_person,conflict
Let’s plan and make our love stronger. 💪,2,breaking_up,text,stress
Can't you see I'm frustrated because of you? 😔,0,long_distance,in_person,milestone
You’re the perfect one who can make me feel this way. 💕,4,early_dating,email,milestone
I wish you would take responsibility for your shutting down. 🙏,0,committed,text,conflict
You’re the wonderful person I know. 💕,2,long_distance,in_person,milestone
I love our life memories. 📚,3,long_distance,in_person,stress
I’m feeling a bit off about our relationship. 😊,6,committed,phone,happiness
You’re the perfect one for me. 💕,4,committed,email,separation
I need you to {positive_action} for our relationship. 💕,0,long_distance,phone,separation
Your blaming me is really disappointing. 😔,0,long_distance,phone,happiness
Every minute without you feels like forever. 🕰️,3,breaking_up,text,conflict
I can’t get enough of the way you build. 😘,2,long_distance,in_person,conflict
"I’m feeling unsure about schedule, and I’m not sure how to process it. 😊",6,committed,in_person,milestone
I can’t get enough of the way you share with me. 😘,4,committed,email,stress
"I’m feeling confused about day, and I’m not sure why. 😊",6,long_distance,in_person,happiness
You make every minute special. 🎉,2,long_distance,email,milestone
I’m incredible to have you. 😊,2,early_dating,email,stress
I cherish our life dates. 📆,2,long_distance,phone,conflict
"You’re perfect, but I’m not sure about plan. 🤔",6,early_dating,phone,separation
I don't trust you when you shutting down. 😠,0,committed,in_person,stress
Let’s spend and have fun. 🎉,2,early_dating,phone,milestone
Let’s plan and make this night unforgettable. 🌃,4,early_dating,phone,happiness
"You’re my mi amor, and I’m so grateful for you. 💕",4,long_distance,text,milestone
I think the way you cherish. 😘,3,committed,phone,happiness
I can’t get enough of our love talks. 💬,2,long_distance,text,separation
Can we chill later? 🕰️,1,long_distance,email,happiness
You’re my forever partner. 💗,5,committed,text,milestone
"I’m feeling off about our relationship, and I’m not sure what to do. 😔",6,married,phone,milestone
You make my day so much better! 🌟,4,married,in_person,separation
I believe in you and us. 💪,5,committed,text,separation
I’m here to support you through thick and thin. 🤝,5,committed,email,milestone
"You’re my everything, my everything. 💗",2,breaking_up,in_person,conflict
You make every moment wonderful. 🌟,4,married,text,stress
"You’re my everything, my everything. 💗",2,early_dating,in_person,conflict
Maybe we should chill and work on building trust. 💕,6,long_distance,text,milestone
"You’re my mi amor, and I’ve got your back. 😊",5,early_dating,phone,stress
I’m just chat and seeing where things go. 📊,6,committed,in_person,stress
You’re the amazing one who can make me feel this way. 💕,4,long_distance,text,separation
I think spending time with you. 🕰️,2,early_dating,text,stress
I adore you more than words can say. 💗,2,long_distance,phone,milestone
I’m so incredible in love with you. 😍,2,married,email,milestone
You're so annoying when it comes to {topic}. 😒,0,committed,phone,stress
I feel so happy with you. 😊,2,early_dating,phone,happiness
You’re my mi amor love. 💗,2,long_distance,text,separation
I love you more with each passing day. ❤️,4,long_distance,phone,milestone
"You’re my priority, and I’m here for you. 💕",5,committed,text,stress
You’re my forever everything. 💗,2,early_dating,phone,happiness
You make me feel loved. 😊,2,married,phone,happiness
Let’s cherish and make memories. 📚,2,long_distance,phone,conflict
"You’re my world, and I’ve got your back. 😊",5,breaking_up,phone,conflict
I’m so perfect to be with you. 💕,4,committed,phone,happiness
I’m here to make our relationship amazing. 💕,5,married,in_person,separation
I’m beautiful to be with you. 😊,3,married,text,separation
Let’s share our love. 🔥,2,long_distance,email,separation
Let’s chat and brainstorm. 💡,1,married,text,conflict
You’re the babe of my life. 💗,3,committed,in_person,separation
Let’s plan our love. 🔥,2,early_dating,email,separation
I can’t get enough of our future moments together. 😘,3,committed,phone,milestone
I dream you for all eternity. ❤️,2,married,text,milestone
I'm tired of your behavior drama. 😩,0,committed,phone,separation
I cherish the way you {romed with you. 😘,4,long_distance,text,conflict
Every week is unfair without you. 🕰️,3,long_distance,phone,happiness
I can’t get enough of our memories moments together. 💭,4,long_distance,text,stress
I'm done with your excuses games. 👋,0,breaking_up,text,milestone
You’re my babe and my everything. 💗,4,early_dating,in_person,happiness
I’m just chat and trying to figure things out. 📊,6,breaking_up,in_person,milestone
You’re my perfect soulmate. 💕,2,committed,email,stress
You’re my heart forever. 💗,2,breaking_up,in_person,separation
I miss your future and your smile. 😊,3,early_dating,text,conflict
"We’re a team, babe. 🤝",5,breaking_up,in_person,stress
You can trust me with anything. 🤐,5,breaking_up,phone,separation
I can’t stop thinking about our love. 💭,3,long_distance,in_person,happiness
I love the way you {romed with you. 😘,4,long_distance,in_person,happiness
You’re the world of my heart. ❤️,3,married,in_person,separation
"You’re my everything, and I’ve got your back. 😊",5,committed,email,stress
How’s your day going with week? 🌞,1,long_distance,phone,happiness
I feel excited with you by my side. 😊,2,married,email,separation
Your arguments is really getting on my nerves! 😒,0,breaking_up,in_person,conflict
I can’t get enough of our life moments together. 😘,3,breaking_up,phone,happiness
Let’s build and make some unforgettable memories. 📸,4,breaking_up,email,separation
What’s your favorite week? ❤️,1,committed,text,happiness
"I’m always here to support you, mi amor. 🤗",5,early_dating,text,conflict
You’re not alone; I’m here for you. 🤝,5,long_distance,in_person,conflict
Being with you feels amazing. 😌,2,breaking_up,email,separation
"I’m feeling unsure about our week, and I’m not sure what to do. 😔",6,long_distance,phone,happiness
You’re the future of my heart. ❤️,2,early_dating,email,separation
You’re my everything in the darkness. ✨,3,early_dating,text,conflict
I dream our late-night conversations. 💬,3,breaking_up,email,stress
I adore the way you build me. 😘,4,breaking_up,email,separation
I love our future talks. 💬,2,early_dating,email,stress
"You’re my heart, always. 💗",2,early_dating,text,happiness
I’m feeling a bit confused about mood. 😊,6,breaking_up,phone,stress
You’re my forever love. 💖,5,committed,phone,stress
I love the way you share me. 😘,3,early_dating,phone,conflict
"I don’t know, maybe we need to chat and reevaluate our priorities. 📊",6,breaking_up,phone,separation
I’m just hang out and hoping for the best. 🌟,6,early_dating,email,stress
You’re the reason I wake up with a smile. 😊,5,married,in_person,conflict
You’re the beautiful one who makes my heart skip a beat. 💖,4,married,email,stress
I can’t stop think about you. 😍,2,early_dating,phone,conflict
I’m committed to us and our relationship. 💕,5,married,in_person,conflict
"I’m feeling confused about mood, and I’m not sure how to process it. 😊",6,early_dating,text,happiness
Bet I can make you excited tonight! 😏,4,committed,phone,happiness
Can we chill and hang out? 👫,1,married,phone,separation
Let’s build our joy. 💗,2,married,phone,conflict
Let’s spend and make memories. 📚,2,long_distance,phone,conflict
"I don’t know, maybe we need to hang out and communicate better. 💬",6,long_distance,phone,milestone
Want to hang out and share ideas? 💭,1,breaking_up,in_person,milestone
I’m just taking things as they come and hang out. 🌟,6,committed,email,conflict
"You’re my soulmate, and I’m grateful for you. 💗",5,long_distance,phone,separation
Maybe we should talk and work on our communication. 💬,6,long_distance,phone,separation
You’re the best thing about my life. 🌟,5,married,email,conflict
I cherish our memories moments together. 😘,2,early_dating,text,conflict
I'm frustrated with our excuses communication. 😠,0,long_distance,text,happiness
Your hiding things is really selfish. 😠,0,breaking_up,phone,milestone
Let’s hang out and get coffee. ☕️,1,early_dating,text,separation
Maybe we should catch up and talk about our feelings. 💕,6,early_dating,email,happiness
I love our journey dates. 📆,2,married,phone,happiness
I think the way you smile. 😊,2,committed,email,separation
Let’s catch up on week. 📱,1,married,phone,milestone
You never support when I need you. 😔,0,married,email,separation
You make my heart grateful. 💖,2,breaking_up,email,conflict
"I’m here for you, no matter what. Let’s build. 💕",5,breaking_up,phone,happiness
"You’re my soulmate, and I’m grateful for you. 💗",5,committed,in_person,happiness
You’re my everything and my everything. 💗,4,long_distance,in_person,conflict
You can trust me with anything. 🤐,5,long_distance,text,milestone
Want to learn about schedule? 📚,1,committed,phone,happiness
I’m committed to our love and relationship. 💕,5,early_dating,phone,separation
"You’re my everything, my mi amor. 💗",2,early_dating,phone,stress
Are we okay? Just checking on plan. 🤗,6,long_distance,email,conflict
I miss our life talks and laughter. 💬,3,committed,phone,stress
"You’re my everything, and I’m here for you. 💖",5,breaking_up,text,happiness
I’m always here to help you through tough times. 🤗,5,early_dating,in_person,milestone
I’m committed to us and our relationship. 💕,5,committed,in_person,separation
"You can count on me, joy. 💕",5,long_distance,phone,conflict
Let’s chill and have a good time. 😊,1,early_dating,phone,separation
You’re the perfect one who can make me feel this way. 💕,4,early_dating,phone,milestone
Want to talk and chill? 😎,1,breaking_up,email,separation
I don't trust you when you fighting. 😠,0,early_dating,in_person,milestone
Let’s spend and make some unforgettable memories. 📸,4,committed,in_person,separation
Being apart from you is selfish. 😢,3,committed,email,milestone
"You’re my mi amor, and I’m all about you. 💗",4,early_dating,in_person,happiness
You make my schedule so much better! 🌟,4,long_distance,phone,stress
I’m here to make our relationship stronger. 💕,5,married,phone,conflict
"You’re my priority, and I’m here for you. 💕",5,committed,text,stress
Maybe we should hang out and talk about our feelings. 💕,6,early_dating,email,stress
"You’re the everything of my dreams, and I’m all about you. 💭",4,committed,email,stress
I love you more with each passing day. ❤️,4,long_distance,phone,milestone
You’re the perfect person I know. 💕,2,married,in_person,milestone
I feel happy when I think of you. 💕,3,long_distance,text,stress
You make my life wonderful and exciting. 🌞,4,committed,text,conflict
You’re always cold. 😠,0,early_dating,text,separation
I’m just meet up and hoping for the best. 🌟,6,early_dating,text,stress
What’s your experience with week? 📊,1,committed,text,conflict
You’re the beautiful person I know. 💕,2,long_distance,text,stress
I feel disrespected when you shutting down. 😢,0,long_distance,email,conflict
"I’m feeling distant about day, and I’m not sure why. 😊",6,long_distance,email,happiness
Want to catch up and share ideas? 💭,1,committed,phone,stress
You’re my babe forever. 💗,2,married,email,milestone
I'm hurt by your fighting. 😢,0,breaking_up,phone,separation
"You’re my heart, and I love you. 💗",4,breaking_up,email,happiness
Every moment without you feels like forever. 🕰️,3,committed,text,happiness
You make every hour special. 🎉,2,breaking_up,phone,separation
You’re the heart I want to spend forever with. 💕,3,long_distance,phone,milestone
I believe in our love and future. 🌟,5,long_distance,in_person,conflict
I’m just chill and seeing where our relationship goes. 🌟,6,committed,text,happiness
Let’s catch up and brainstorm. 💡,1,married,email,milestone
I’m beautiful to spend forever with you. 💗,2,committed,in_person,milestone
I’m here to celebrate your successes. 🎉,5,committed,text,conflict
How’s your mood going? 🤗,1,early_dating,in_person,stress
Every week without you feels like forever. 🕰️,3,early_dating,text,stress
Why do you always have to ignoring me like this? 🤷‍♂️,0,early_dating,phone,separation
You can trust me with anything. 🤐,5,breaking_up,email,conflict
Let’s chill this month. 📆,1,committed,text,milestone
"You’re my future, and I think you for it. 💗",4,long_distance,email,milestone
Let’s share and grow together. 🌱,2,married,in_person,happiness
Your ignoring me is breaking my heart. 💔,0,breaking_up,email,milestone
You’re the joy of my heart’s desire. 💖,3,long_distance,email,separation
I’m here to support you through thick and thin. 🤝,5,breaking_up,text,stress
I’m so special in love with you. 😍,2,committed,phone,conflict
"You’re my everything, and I’m trying to navigate plan with you. 🤝",6,breaking_up,text,stress
Let’s spend and make memories. 📚,2,breaking_up,email,stress
How’s your plan going so far? 🤔,1,early_dating,phone,stress
"You’re special, but I’m not sure if vibe is working. 🤔",6,breaking_up,email,conflict
Being apart from you is cold. 😢,3,early_dating,email,milestone
I miss your joy so much right now. 😔,3,long_distance,email,conflict
I’m amazing when we’re together. 😊,2,committed,phone,stress
You never take responsibility for your hiding things. 😠,0,committed,email,stress
I’m always here to help you through tough times. 🤗,5,early_dating,email,happiness
You can always rely on me. 💯,5,early_dating,phone,separation
"I’m feeling unsure about our relationship, and I’m not sure what to do. 😔",6,married,in_person,milestone
How’s your day going with mood? 🌞,1,married,email,milestone
"Babe, you make my heart safe! 😍💖",2,breaking_up,email,milestone
Can we catch up and talk? 💬,1,early_dating,email,milestone
"You’re my babe, but I’m feeling a bit confused about week. 💗",6,committed,email,stress
I’m just chat and trying to understand mood. 📚,6,long_distance,phone,conflict
"I don’t know, maybe we need to chat and communicate better. 💬",6,early_dating,text,conflict
Just checking in about mood. 👋,1,breaking_up,phone,happiness
I miss your mi amor and your smile. 😊,3,early_dating,email,stress
I’m here to make our relationship stronger. 💕,5,committed,in_person,separation
"I’m not sure what’s going on, but I’m feeling unsure. 😊",6,early_dating,in_person,separation
You’re not alone; I’m here for you. 🤝,5,long_distance,email,milestone
I’m amazing when we’re apart. 😢,3,long_distance,email,stress
You're not wonderful enough for me. 😔,0,committed,text,separation
Your hiding things is breaking my heart. 💔,0,breaking_up,in_person,milestone
I cherish you for who you are. 💖,2,committed,text,separation
"You’re my future, my love, my everything. 💗",3,early_dating,text,stress
"You’re my world, but I’m feeling a bit distant about mood. 💗",6,breaking_up,text,happiness
I’m special when we’re apart. 😢,3,married,text,conflict
I can’t get enough of the way you make me feel. 💗,3,committed,email,separation
"You’re beautiful, but I’m not sure if plan is working. 🤔",6,long_distance,in_person,happiness
"You’re my everything, and I’m here to support you. 💕",5,long_distance,phone,milestone
I think you for who you are. 💖,2,long_distance,in_person,milestone
"You’re special, but sometimes I wonder about vibe. 💭",6,long_distance,email,conflict
"You’re incredible, but I’m not sure if week is working. 🤔",6,early_dating,phone,happiness
You make my life beautiful and exciting. 🌞,4,married,text,conflict
You make my heart excited. 💖,2,committed,phone,stress
You make my plan so much better! 🌟,4,long_distance,in_person,separation
I'm fed up with your behavior habits. 😩,0,long_distance,phone,happiness
You make me feel ignored. 😢,0,breaking_up,text,stress
I'm done with feeling hurt because of you. 👋,0,long_distance,text,milestone
I wish we could spend and make memories. 📸,3,married,text,conflict
Every moment with you is amazing. 😊,3,long_distance,text,stress
Let’s create our love. 🔥,2,breaking_up,email,milestone
You’re such a wonderful tease! Let’s share. 😉,4,committed,text,conflict
I cherish you more every minute. ❤️,2,long_distance,email,stress
You’re my partner in crime and in life. 😄,5,long_distance,email,happiness
I’m so amazing to be with you. 💕,4,breaking_up,email,separation
I’m just catch up and trying to make sense of things. 🤔,6,long_distance,phone,conflict
"I don’t know, maybe we should hang out and focus on our connection. 💗",6,early_dating,email,separation
Your attitude is ruining our relationship. 💔,0,early_dating,text,stress
I miss your babe so much right now. 😔,3,early_dating,text,happiness
I don't trust you when you ignoring me. 😠,0,married,phone,happiness
I dream you for who you are. 💖,2,early_dating,email,conflict
"Yo, you up for talk this week? 😎",1,long_distance,phone,happiness
I’m always here to help you through tough times. 🤗,5,committed,text,separation
You mean the everything to me. 💕,2,married,email,stress
What do you know about mood? 🤓,1,early_dating,email,conflict
I cherish you for who you are. 💖,3,committed,in_person,conflict
"I don’t know, maybe we need to catch up and reevaluate our priorities. 📊",6,long_distance,email,separation
I miss your everything and your touch. 😘,3,committed,email,conflict
"Babe, you make my heart excited! 😍💖",2,long_distance,in_person,stress
I'm done with feeling ignored because of you. 👋,0,early_dating,email,happiness
"Babe, you make my heart loved! 😍💖",2,committed,in_person,separation
Being with you is beautiful. 😌,2,breaking_up,email,happiness
I'm fed up with your secrets habits. 😩,0,early_dating,phone,happiness
I wish we could build every day. 💕,3,early_dating,in_person,stress
I feel disrespected when you lying. 😢,0,long_distance,phone,separation
Your attitude is really getting on my nerves! 😒,0,long_distance,in_person,happiness
I adore our future dates. 📆,2,committed,text,conflict
"I adore you, now and forever. ❤️",3,early_dating,email,happiness
I’m just catch up and seeing where things go. 📊,6,married,phone,milestone
I feel blessed when I think of you. 💕,3,committed,email,separation
You’re my partner in crime and in life. 😄,5,early_dating,in_person,separation
I’m so over your selfish attitude! 😒,0,committed,email,milestone
I love you more every day. ❤️,2,breaking_up,in_person,milestone
I feel safe with you by my side. 😊,2,early_dating,text,stress
Let’s share and enjoy each other’s company. 😊,4,long_distance,in_person,stress
You’re the heart I want to spend forever with. 💕,3,married,in_person,milestone
I’m wonderful to have you. 😊,2,early_dating,in_person,milestone
I’m done with your secrets. 👋,0,married,text,milestone
"I don’t know, maybe we should catch up and see what happens. 🎉",6,committed,in_person,conflict
I’m so special when we’re together. 😊,4,committed,phone,separation
I’m perfect to have you. 😊,2,long_distance,email,happiness
I’m here to support your goals and dreams. 🤗,5,committed,phone,stress
Maybe we should chat and work on building trust. 💕,6,breaking_up,email,conflict
I dream our journey moments together. 😘,3,breaking_up,in_person,separation
Want to join me for chill? 🎉,1,breaking_up,in_person,milestone
Maybe we should chill and see how it goes. 📆,6,long_distance,email,happiness
"Babe, you make my heart safe! 😍💖",2,married,in_person,milestone
I adore the way you spend. 😘,3,committed,in_person,milestone
"I’m feeling confused about day, and I’m not sure what it means. 😊",6,early_dating,phone,milestone
You make my life incredible when we’re together. 🌞,3,early_dating,email,milestone
"You’re always on my mind, mi amor. 😊",3,married,email,stress
I’m so amazing with you by my side. 💕,2,early_dating,in_person,happiness
I’m just talk and trying to understand plan. 📚,6,early_dating,phone,conflict
Let’s chat and have a good time. 😊,1,breaking_up,text,milestone
I'm frustrated with your cold behavior. 😤,0,long_distance,email,separation
I feel happy with you by my side. 😊,2,early_dating,in_person,separation
I adore the memories we made together. 📚,3,long_distance,in_person,milestone
You’re the everything I want to spend forever with. 💕,4,early_dating,email,separation
"You’re the world of my dreams, and I’m all about you. 💭",4,early_dating,phone,separation
I’m so perfect when we’re together. 😊,4,committed,email,milestone
Your ignoring me is breaking my heart. 💔,0,breaking_up,text,stress
I’m here to support your dreams. 🤗,5,long_distance,email,conflict
"I don’t know, maybe we need to meet up and reevaluate our priorities. 📊",6,long_distance,phone,conflict
"We’re a team, joy. 🤝",5,early_dating,phone,separation
You’re the perfect one who understands me. 💕,4,breaking_up,phone,separation
"You’re my everything, and I adore you. 💖",5,early_dating,in_person,happiness
You’re my world and my everything. 💗,4,long_distance,text,conflict
Let’s cherish and create some magic. ✨,4,long_distance,email,separation
I’m just hang out and trying to figure out what’s best for us. 🤝,6,committed,in_person,milestone
Did you chat yesterday? 🤔,1,early_dating,in_person,stress
I’m committed to us and our relationship. 💕,5,long_distance,email,conflict
Bet I can make you blessed tonight! 😏,4,early_dating,phone,separation
I adore our future adventures. 🏞️,3,committed,text,milestone
Why do you always have to blaming me like this? 🤷‍♂️,0,married,phone,milestone
I’m feeling distant about our mood. 😊,6,early_dating,in_person,stress
"You’re my babe, and I’ve got your back. 😊",5,long_distance,in_person,happiness
I'm done with feeling betrayed because of you. 👋,0,early_dating,phone,separation
I feel excited when you’re near. 😊,2,breaking_up,email,happiness
I cherish you more every day. ❤️,2,breaking_up,text,happiness
You’re the babe I want to spend forever with. 💕,4,married,phone,conflict
I’m just catch up and trying to make sense of things. 🤔,6,committed,text,conflict
"You’re always on my mind, world. 😊",3,long_distance,text,happiness
You’re not alone; I’m here for you. 🤝,5,long_distance,email,conflict
"Babe, you make my heart happy! 😍💖",2,long_distance,text,conflict
Let’s share and make memories. 📚,2,committed,text,happiness
I’m not really sure what to think about day. 🤔,6,committed,email,milestone
I dream our life moments. 😘,2,long_distance,phone,happiness
Your shutting down is really disappointing. 😔,0,breaking_up,text,milestone
"You’re my world, always. 💗",2,long_distance,email,separation
You’re the beautiful one who can make me feel this way. 💕,4,long_distance,text,happiness
I love the way you make me feel. 💗,4,long_distance,email,milestone
"You’re my mi amor, and I’m all about you. 💗",4,early_dating,email,happiness
Let’s meet up and explore. 🌐,1,long_distance,email,stress
I adore our dreams adventures. 🏞️,3,long_distance,email,stress
You’re the reason I wake up with a smile. 😊,5,early_dating,text,milestone
Your cold words hurt me deeply. 😢,0,long_distance,text,conflict
You mean the heart to me. 💕,2,long_distance,phone,conflict
You’re the joy I want to spend forever with. 💕,4,breaking_up,phone,conflict
You make me feel frustrated. 😢,0,long_distance,in_person,separation
Let’s create our love. 🔥,2,married,phone,separation
Let’s chat and brainstorm. 💡,1,early_dating,in_person,conflict
"You’re wonderful, but I’m not sure if day is sustainable. 🤔",6,committed,text,stress
Are you interested in meet up? 🤔,1,committed,in_person,conflict
Being without you is cold and hard. 😢,3,committed,text,conflict
Every hour without you feels like forever. 🕰️,3,early_dating,in_person,separation
Let’s plan and make some memories. 📚,4,long_distance,text,happiness
I adore our future moments. 😘,2,breaking_up,text,milestone
I’m here to listen and support you. 👂,5,committed,phone,separation
Let’s make memories together. 💕,2,breaking_up,phone,stress
"You’re the heart of my dreams, and I’m all about you. 💭",4,long_distance,in_person,conflict
"I don’t know, maybe we should chill and see what happens. 🎉",6,long_distance,in_person,happiness
I’m beautiful to spend forever with you. 💗,2,long_distance,phone,separation
I’m committed to our love and relationship. 💕,5,long_distance,in_person,happiness
I can’t stop thinking about our memories. 💭,3,long_distance,phone,milestone
Are we okay? Just checking on schedule. 🤗,6,breaking_up,phone,conflict
You’re the best thing about my life. 🌟,5,long_distance,phone,stress
What’s vibe like today? 🤔,1,long_distance,email,conflict
Let’s share our love. 🔥,2,breaking_up,email,conflict
Every moment with you is incredible. 😊,3,committed,phone,separation
"You’re my rock, and I love you. 💗",5,committed,phone,separation
Want to meet up and chill? 😎,1,long_distance,email,conflict
I’m committed to our relationship and growth. 💪,5,long_distance,phone,stress
Let’s spend and create some magic. ✨,4,long_distance,text,happiness
Let’s cherish and grow together. 🌱,2,breaking_up,email,milestone
Are you free to hang out? 🕒,1,long_distance,text,separation
You're so annoying when it comes to {topic}. 😒,0,early_dating,in_person,milestone
I can’t believe you hiding things. 😡,0,committed,phone,separation
I feel grateful when you’re near. 😊,2,long_distance,email,separation
I’m amazing to spend forever with you. 💗,2,early_dating,text,stress
"Babe, you make my heart grateful! 😍💖",2,long_distance,text,milestone
Everything’s better when we’re together. safe? 🌞,5,early_dating,in_person,happiness
I’m just chill and seeing how things develop. 🌟,6,long_distance,in_person,happiness
I'm hurt by your shutting down. 😢,0,long_distance,email,milestone
"I cherish our time together, every moment. 🕰️",3,early_dating,email,milestone
"I’m amazing to be yours, and you’re mine. 💕",3,married,text,conflict
"I’m feeling off about week, and I’m trying to understand why. 😊",6,breaking_up,text,stress
I’m so incredible when we’re together. 😊,4,married,phone,stress
You make my life beautiful and beautiful. 🌈,3,committed,email,conflict
You’re the best thing about my life. 🌟,5,married,text,milestone
You need to work on your {negative_trait}. 📝,0,early_dating,text,milestone
You’re my heart love. 💗,2,long_distance,text,happiness
"You’re incredible, but I’m not sure if plan is working. 🤔",6,breaking_up,email,happiness
You’re the world of my heart. ❤️,3,married,phone,conflict
"You’re my everything, and I’m here for you. 💖",5,early_dating,phone,stress
Want to hang out together? 👫,1,early_dating,in_person,conflict
I’m committed to our love and relationship. 💕,5,breaking_up,in_person,separation
I miss your mi amor and your smile. 😊,3,early_dating,email,conflict
"I’m feeling unsure about our day, and I’m not sure what to do. 😔",6,breaking_up,email,milestone
"You’re perfect, but sometimes I wonder about mood. 💭",6,married,in_person,separation
"You’re my everything, my joy. 💗",2,committed,text,conflict
Let’s create and enjoy each other’s company. 😊,4,married,in_person,conflict
Let’s build and have some fun! 😄,4,long_distance,phone,separation
"You’re beautiful, but I’m not sure if mood is sustainable. 🤔",6,committed,email,stress
Can’t hang out without thinking of you. 😊,4,married,text,separation
You’re the best thing that’s ever happened to me. 😊,5,committed,text,conflict
I think the way you smile. 😊,2,committed,email,separation
"You’re my world, my love, my everything. 💗",3,married,phone,milestone
"I love you, now and forever. ❤️",3,breaking_up,text,milestone
You make my life perfect. 🌞,2,breaking_up,in_person,stress
"I’m here for you, no matter what. Let’s build. 💕",5,long_distance,in_person,separation
I don't trust you when you lying. 😠,0,married,in_person,milestone
You can trust me with anything. 🤐,5,married,email,conflict
You’re my partner in every sense. 💗,5,long_distance,phone,milestone
I wish you would take responsibility for your hiding things. 🙏,0,married,text,happiness
I wish we could cherish and make memories. 📸,3,committed,text,milestone
"I’m feeling overwhelmed about mood, and I’m not sure how to process it. 😊",6,breaking_up,in_person,stress
Did you chill yesterday? 🤔,1,early_dating,phone,conflict
Maybe we should talk and discuss our feelings openly. 💬,6,long_distance,email,conflict
"We’re in this together, always. 💕",5,married,email,happiness
You’re the future I want to spend forever with. 💕,3,long_distance,text,stress
I’m always here to help you through tough times. 🤗,5,breaking_up,text,separation
I’m just hang out and hoping for the best. 🌟,6,married,text,separation
You’re my heart love. 💗,2,committed,email,separation
You’re the world of my heart. ❤️,3,early_dating,text,milestone
I can’t get enough of you for who you are. 💖,2,long_distance,phone,milestone
You’re the heart I want to spend forever with. 💕,4,married,email,happiness
I miss our journey talks and laughter. 💬,3,committed,phone,happiness
You’re my forever partner. 💗,5,married,email,happiness
I love you more with each passing day. ❤️,3,married,phone,milestone
I’m special to have you. 😊,2,early_dating,in_person,milestone
I think our life moments together. 😘,3,long_distance,email,conflict
I’m feeling unsure about our schedule. 😊,6,committed,text,happiness
You’re my joy and my everything. 💗,4,long_distance,email,milestone
Want to join me for chat? 🎉,1,early_dating,in_person,separation
I’m special to spend forever with you. 💗,2,breaking_up,email,stress
I need you to {positive_action} for our relationship. 💕,0,breaking_up,phone,separation
Maybe we should chill and work on our communication. 💬,6,committed,phone,separation
